shape,warmup_seconds,warmup_iterations,measurement_seconds,measurement_iterations,measurement_wall_start_epoch_s,measurement_wall_end_epoch_s,median_latency_ms,mean_latency_ms,p99_latency_ms,throughput_TOPS,package_power_raw_W,package_power_idle_W,package_power_delta_W,pp0_power_raw_W,pp0_power_delta_W,dram_power_raw_W,dram_power_delta_W,energy_raw_package_mJ,paper_latency_ms,paper_power_W,paper_energy_mJ,latency_deviation_percent,power_deviation_percent,energy_deviation_percent,power_scope
1x2048x2048,5.0,28420,30.000126,175431,1784547987.4696271,1784548017.4701815,0.1439,0.170315,0.60987,0.049053856,71.641,73.05,0,61.3,0,0.0,0,10.30914,0.173,72.0,12.438,-16.821,-0.499,-17.116,RAPL_Package0_PKG_raw_mean_during_measurement_window
1x4096x4096,5.0,9631,30.000268,54631,1784548024.3188233,1784548054.3194542,0.4575,0.547945,2.2299,0.061103194,71.809,73.05,0,61.062,0,0.0,0,32.852618,0.574,75.0,42.85,-20.296,-4.255,-23.331,RAPL_Package0_PKG_raw_mean_during_measurement_window
