top_module,clb_luts,lut_as_logic,lut_as_memory,clb_registers,dsp,report
w4a4_sf_v0_normal_signed_p2d2_single_dsp,11,11,0,0,1,reports/component/w4a4_sf_v0_normal_signed_p2d2_single_dsp_utilization_synth.rpt
w4a4_sf_v1_signmag_nonoverlap_p6d5_single_dsp,40,40,0,27,1,reports/component/w4a4_sf_v1_signmag_nonoverlap_p6d5_single_dsp_utilization_synth.rpt
w4a4_sf_v2_overlap_no_correction_p8d6_single_dsp,49,49,0,33,1,reports/component/w4a4_sf_v2_overlap_no_correction_p8d6_single_dsp_utilization_synth.rpt
w4a4_sf_v3_full_correction_p8d6_single_dsp,82,82,0,90,1,reports/component/w4a4_sf_v3_full_correction_p8d6_single_dsp_utilization_synth.rpt
