pe_rows,pe_cols,pe_count,ooc_variant,target_frequency_mhz,wns_ns,timing_met,estimated_fmax_mhz,lut,ff,expected_pe_dsp,routed_report_dsp,utilization_report,timing_report
8,8,64,ooc_implement1,515,-0.177,False,471.977,13709,13574,64,64,W4A4_PD_8_8/ooc_implement1/freq_515MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_8_8/ooc_implement1/freq_515MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
8,8,64,ooc_implement1,520,-0.176,False,476.4,13740,13565,64,64,W4A4_PD_8_8/ooc_implement1/freq_520MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_8_8/ooc_implement1/freq_520MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
8,8,64,ooc_implement1,530,-0.115,False,499.552,13733,13559,64,64,W4A4_PD_8_8/ooc_implement1/freq_530MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_8_8/ooc_implement1/freq_530MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
8,8,64,ooc_implement1,540,-0.097,False,513.123,13740,13574,64,64,W4A4_PD_8_8/ooc_implement1/freq_540MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_8_8/ooc_implement1/freq_540MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
8,8,64,ooc_implement1,550,-0.223,False,489.912,13740,13568,64,64,W4A4_PD_8_8/ooc_implement1/freq_550MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_8_8/ooc_implement1/freq_550MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
8,8,64,ooc_implement1,560,-0.355,False,467.134,13815,13594,64,64,W4A4_PD_8_8/ooc_implement1/freq_560MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_8_8/ooc_implement1/freq_560MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
8,8,64,ooc_implement1,570,-0.445,False,454.672,13834,13572,64,64,W4A4_PD_8_8/ooc_implement1/freq_570MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_8_8/ooc_implement1/freq_570MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
8,8,64,ooc_implement1,580,-0.282,False,498.47,13881,13579,64,64,W4A4_PD_8_8/ooc_implement1/freq_580MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_8_8/ooc_implement1/freq_580MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
16,16,256,ooc_implement,200,0.443,True,219.443,34063,30601,256,256,W4A4_PD_16_16/ooc_implement/freq_200MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_16_16/ooc_implement/freq_200MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
16,16,256,ooc_implement,220,0.301,True,235.602,34062,30631,256,256,W4A4_PD_16_16/ooc_implement/freq_220MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_16_16/ooc_implement/freq_220MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
16,16,256,ooc_implement,240,0.097,True,245.72,34083,30637,256,256,W4A4_PD_16_16/ooc_implement/freq_240MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_16_16/ooc_implement/freq_240MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
16,16,256,ooc_implement,260,0.127,True,268.878,34083,30634,256,256,W4A4_PD_16_16/ooc_implement/freq_260MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_16_16/ooc_implement/freq_260MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
16,16,256,ooc_implement,280,0.162,True,293.304,34090,30642,256,256,W4A4_PD_16_16/ooc_implement/freq_280MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_16_16/ooc_implement/freq_280MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
16,16,256,ooc_implement,300,0.076,True,307.0,34081,30663,256,256,W4A4_PD_16_16/ooc_implement/freq_300MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_16_16/ooc_implement/freq_300MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
16,16,256,ooc_implement,320,0.127,True,333.556,34104,30682,256,256,W4A4_PD_16_16/ooc_implement/freq_320MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_16_16/ooc_implement/freq_320MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
16,16,256,ooc_implement,340,0.082,True,349.751,34130,30678,256,256,W4A4_PD_16_16/ooc_implement/freq_340MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_16_16/ooc_implement/freq_340MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
16,16,256,ooc_implement,360,0.068,True,369.034,34254,30685,256,256,W4A4_PD_16_16/ooc_implement/freq_360MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_16_16/ooc_implement/freq_360MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
16,16,256,ooc_implement,380,0.026,True,383.792,34260,30685,256,256,W4A4_PD_16_16/ooc_implement/freq_380MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_16_16/ooc_implement/freq_380MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
16,16,256,ooc_implement,400,-0.009,False,398.565,34341,30698,256,256,W4A4_PD_16_16/ooc_implement/freq_400MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_16_16/ooc_implement/freq_400MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
32,32,1024,ooc_implement,200,0.261,True,211.015,105204,83830,1024,1024,W4A4_PD_32_32/ooc_implement/freq_200MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_32_32/ooc_implement/freq_200MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
32,32,1024,ooc_implement,220,0.189,True,229.544,105206,83863,1024,1024,W4A4_PD_32_32/ooc_implement/freq_220MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_32_32/ooc_implement/freq_220MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
32,32,1024,ooc_implement,240,0.121,True,247.178,105203,83872,1024,1024,W4A4_PD_32_32/ooc_implement/freq_240MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_32_32/ooc_implement/freq_240MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
32,32,1024,ooc_implement,260,0.042,True,262.871,105206,83862,1024,1024,W4A4_PD_32_32/ooc_implement/freq_260MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_32_32/ooc_implement/freq_260MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
32,32,1024,ooc_implement,280,0.026,True,282.053,105233,83867,1024,1024,W4A4_PD_32_32/ooc_implement/freq_280MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_32_32/ooc_implement/freq_280MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
32,32,1024,ooc_implement,300,0.014,True,301.265,105275,83935,1024,1024,W4A4_PD_32_32/ooc_implement/freq_300MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_32_32/ooc_implement/freq_300MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
32,32,1024,ooc_implement,320,-0.053,False,314.663,105415,83933,1024,1024,W4A4_PD_32_32/ooc_implement/freq_320MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_32_32/ooc_implement/freq_320MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
32,32,1024,ooc_implement,340,0.031,True,343.622,105442,83931,1024,1024,W4A4_PD_32_32/ooc_implement/freq_340MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_32_32/ooc_implement/freq_340MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
32,32,1024,ooc_implement,360,-0.175,False,338.664,105541,83936,1024,1024,W4A4_PD_32_32/ooc_implement/freq_360MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_32_32/ooc_implement/freq_360MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
32,32,1024,ooc_implement,380,-0.197,False,353.534,105549,83969,1024,1024,W4A4_PD_32_32/ooc_implement/freq_380MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_32_32/ooc_implement/freq_380MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
32,32,1024,ooc_implement,400,-0.608,False,321.75,106162,83991,1024,1024,W4A4_PD_32_32/ooc_implement/freq_400MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_32_32/ooc_implement/freq_400MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
48,48,2304,ooc_implement,200,0.121,True,204.96,221207,168384,2304,2304,W4A4_PD_48_48/ooc_implement/freq_200MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_48_48/ooc_implement/freq_200MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
48,48,2304,ooc_implement,220,0.139,True,226.94,221298,168540,2304,2304,W4A4_PD_48_48/ooc_implement/freq_220MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_48_48/ooc_implement/freq_220MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
48,48,2304,ooc_implement,240,-0.003,False,239.827,221014,168487,2304,2304,W4A4_PD_48_48/ooc_implement/freq_240MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_48_48/ooc_implement/freq_240MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
48,48,2304,ooc_implement,260,-0.602,False,224.812,221013,168631,2304,2304,W4A4_PD_48_48/ooc_implement/freq_260MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_48_48/ooc_implement/freq_260MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
48,48,2304,ooc_implement,280,-0.404,False,251.545,221371,169385,2304,2304,W4A4_PD_48_48/ooc_implement/freq_280MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_48_48/ooc_implement/freq_280MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
48,48,2304,ooc_implement,300,-0.95,False,233.463,221112,168811,2304,2304,W4A4_PD_48_48/ooc_implement/freq_300MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_48_48/ooc_implement/freq_300MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
48,48,2304,ooc_implement,320,-0.707,False,260.96,221196,168554,2304,2304,W4A4_PD_48_48/ooc_implement/freq_320MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_48_48/ooc_implement/freq_320MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
48,48,2304,ooc_implement,340,-1.199,False,241.536,221237,170330,2304,2304,W4A4_PD_48_48/ooc_implement/freq_340MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_48_48/ooc_implement/freq_340MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
48,48,2304,ooc_implement,360,-0.558,False,299.78,221288,168649,2304,2304,W4A4_PD_48_48/ooc_implement/freq_360MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_48_48/ooc_implement/freq_360MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
48,48,2304,ooc_implement,380,-2.107,False,211.034,221564,169588,2304,2304,W4A4_PD_48_48/ooc_implement/freq_380MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_48_48/ooc_implement/freq_380MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
48,48,2304,ooc_implement,400,-1.424,False,254.842,221490,169014,2304,2304,W4A4_PD_48_48/ooc_implement/freq_400MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_48_48/ooc_implement/freq_400MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
48,48,2304,ooc_implement1,240,-0.003,False,239.827,221014,168487,2304,2304,W4A4_PD_48_48/ooc_implement1/freq_240MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_48_48/ooc_implement1/freq_240MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
48,48,2304,ooc_implement1,250,0.073,True,254.647,221028,168527,2304,2304,W4A4_PD_48_48/ooc_implement1/freq_250MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_48_48/ooc_implement1/freq_250MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
48,48,2304,ooc_implement1,260,-0.602,False,224.812,221013,168631,2304,2304,W4A4_PD_48_48/ooc_implement1/freq_260MHz/hls/impl/verilog/report/gemv_kernel_utilization_routed.rpt,W4A4_PD_48_48/ooc_implement1/freq_260MHz/hls/impl/verilog/project.runs/impl_1/bd_0_wrapper_timing_summary_routed.rpt
