"precision","depth1","depth2","depth3","depth4","depth5","depth6"
"W3A4","1","1","2","2","3","3"
"W3A5","1","1","2","3","4","5"
"W4A4","1","1","2","3","4","5"
"W4A5","1","1","2","4","6","8"
"W5A4","1","1","2","4","6","8"
"W5A5","1","1","2","6","9","11"
