top_module,report,clb_luts,lut_as_logic,lut_as_memory,clb_registers,dsp
W5A4_stage_s3_xor_sign,area-ablation\out\vivado_resource\W5A4_stage_s3_xor_sign_utilization_synth.rpt,89,84,5,68,1
W5A5_lsb_depth1,area-ablation\out\vivado_resource\W5A5_lsb_depth1_utilization_synth.rpt,1,1,0,0,0
W5A5_lsb_depth2,area-ablation\out\vivado_resource\W5A5_lsb_depth2_utilization_synth.rpt,1,1,0,0,0
W5A5_lsb_depth3,area-ablation\out\vivado_resource\W5A5_lsb_depth3_utilization_synth.rpt,2,2,0,0,0
W5A5_lsb_depth4,area-ablation\out\vivado_resource\W5A5_lsb_depth4_utilization_synth.rpt,6,6,0,0,0
W5A5_lsb_depth5,area-ablation\out\vivado_resource\W5A5_lsb_depth5_utilization_synth.rpt,9,9,0,0,0
W5A5_lsb_depth6,area-ablation\out\vivado_resource\W5A5_lsb_depth6_utilization_synth.rpt,11,11,0,0,0
W5A5_stage_s0_original,area-ablation\out\vivado_resource\W5A5_stage_s0_original_utilization_synth.rpt,119,98,21,21,1
W5A5_stage_s1_weight_offline,area-ablation\out\vivado_resource\W5A5_stage_s1_weight_offline_utilization_synth.rpt,108,87,21,21,1
W5A5_stage_s2_registered_c,area-ablation\out\vivado_resource\W5A5_stage_s2_registered_c_utilization_synth.rpt,93,87,6,51,1
W5A5_stage_s3_xor_sign,area-ablation\out\vivado_resource\W5A5_stage_s3_xor_sign_utilization_synth.rpt,74,68,6,51,1
