shape,config,latency_ms,package0_w,package1_w,dual_socket_total_w,table5_package0_energy_mj,dual_socket_energy_mj,paper_latency_ms,paper_package0_w,paper_energy_mj,measurement_seconds,measurement_iterations,streaming_weight_bank_mb,power_scope,evidence_class,status
1x2048x2048,GEMV_2048x2048,0.129,212.709,209.211,421.919,27.439461,54.4429,0.129,213.0,27.439,10.0001,77498,1024,RAPL_package0_single_socket,RECOMPUTED_FROM_LOGS,PASS
1x4096x4096,GEMV_4096x4096,0.3688,228.648,230.432,459.08,84.325382,169.3157,0.369,229.0,84.325,10.0004,27115,1024,RAPL_package0_single_socket,RECOMPUTED_FROM_LOGS,PASS
