group,method,precision,w_bits,a_bits,lanes,nx,ny,x_kind,offsets,outputs,error_count,ep,mae,mse,max_abs_err
20,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
21,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
22,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
23,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
24,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
25,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
26,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
27,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
28,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
29,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
30,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
31,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
32,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
33,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
34,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
35,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
36,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
37,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
38,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
39,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
40,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
41,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
42,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
43,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
44,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
45,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
46,Ultra-DSP,W2A2,2,2,54,3,18,weight,0 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 17 17 17 18 18 19,540000,0,0.0,0.0,0.0,0
