top_module,part,synth_directive,control_set_opt_threshold,clb_luts,lut_as_logic,lut_as_memory,ff,clb_registers,dsp,utilization_report,timing_report
w4a4_overlap_depth3_hybrid,xcu55c-fsvh2892-2L-e,AreaOptimized_high,1,91,91,0,114,114,1,<AE_ROOT>/overlap-depth-sweep/out/vivado_resource/w4a4_overlap_depth3_hybrid_utilization_synth.rpt,<AE_ROOT>/overlap-depth-sweep/out/vivado_resource/w4a4_overlap_depth3_hybrid_timing_synth.rpt
w4a4_overlap_depth4_hybrid,xcu55c-fsvh2892-2L-e,AreaOptimized_high,1,130,130,0,165,165,1,<AE_ROOT>/overlap-depth-sweep/out/vivado_resource/w4a4_overlap_depth4_hybrid_utilization_synth.rpt,<AE_ROOT>/overlap-depth-sweep/out/vivado_resource/w4a4_overlap_depth4_hybrid_timing_synth.rpt
w4a4_overlap_depth5_hybrid,xcu55c-fsvh2892-2L-e,AreaOptimized_high,1,261,261,0,324,324,1,<AE_ROOT>/overlap-depth-sweep/out/vivado_resource/w4a4_overlap_depth5_hybrid_utilization_synth.rpt,<AE_ROOT>/overlap-depth-sweep/out/vivado_resource/w4a4_overlap_depth5_hybrid_timing_synth.rpt
w4a4_overlap_depth6_hybrid,xcu55c-fsvh2892-2L-e,AreaOptimized_high,1,261,261,0,324,324,1,<AE_ROOT>/overlap-depth-sweep/out/vivado_resource/w4a4_overlap_depth6_hybrid_utilization_synth.rpt,<AE_ROOT>/overlap-depth-sweep/out/vivado_resource/w4a4_overlap_depth6_hybrid_timing_synth.rpt
