depth,top_module,prefill_schema,decode_schema,prefill_T,decode_T,prefill_x_pos,prefill_y_pos,decode_x_pos,decode_y_pos,prefill_product_offsets,decode_product_offsets,pointwise_limit,prefill_actual_max_overlap,decode_actual_max_overlap,prefill_pointwise_overlap,decode_pointwise_overlap,prefill_total_overlap,decode_total_overlap,prefill_cost,decode_cost,prefill_source,decode_source,rtl_style,note
3,w4a4_overlap_depth3_hybrid,3x3,1x7,9,7,0 4 8,0 11 23,0,0 4 8 11 15 19 23,0 4 8 11 15 19 23 27 31,0 4 8 11 15 19 23,2,3,3,2,2,17,13,17,13,paper_prefill_3x3,paper_decode_1x7,source_compatible_single_dsp,"source_compatible_single_dsp; D3 prefill/decode are paper-compatible, D>3 prefill is throughput-first Pareto; pointwise cap=2"
4,w4a4_overlap_depth4_hybrid,4x3,1x7,12,7,0 4 8 13,0 11 22,0,0 4 8 11 15 19 23,0 4 8 11 13 15 19 22 24 26 30 35,0 4 8 11 15 19 23,3,4,3,3,2,31,13,31,13,solver,paper_decode_1x7,source_compatible_single_dsp,"source_compatible_single_dsp; D3 prefill/decode are paper-compatible, D>3 prefill is throughput-first Pareto; pointwise cap=3"
5,w4a4_overlap_depth5_hybrid,5x4,1x7,20,7,0 3 6 9 12,0 7 15 23,0,0 4 8 11 15 19 23,0 3 6 7 9 10 12 13 15 16 18 19 21 23 24 26 27 29 32 35,0 4 8 11 15 19 23,4,5,3,4,2,79,13,79,13,solver,paper_decode_1x7,source_compatible_single_dsp,"source_compatible_single_dsp; D3 prefill/decode are paper-compatible, D>3 prefill is throughput-first Pareto; pointwise cap=4"
6,w4a4_overlap_depth6_hybrid,5x4,1x7,20,7,0 3 6 9 12,0 7 15 23,0,0 4 8 11 15 19 23,0 3 6 7 9 10 12 13 15 16 18 19 21 23 24 26 27 29 32 35,0 4 8 11 15 19 23,4,5,3,4,2,79,13,79,13,solver,paper_decode_1x7,source_compatible_single_dsp,"source_compatible_single_dsp; D3 prefill/decode are paper-compatible, D>3 prefill is throughput-first Pareto; pointwise cap=4"
