depth,top_module,prefill_schema,decode_schema,prefill_T,decode_T,pointwise_limit,legal_layout_count,max_legal_T,max_prefill_pareto_T,max_decode_pareto_T,prefill_actual_max_overlap,decode_actual_max_overlap,prefill_pointwise_overlap,decode_pointwise_overlap,prefill_total_overlap,decode_total_overlap,clb_luts,lut_as_logic,ff,clb_registers,dsp,wns_ns,timing_status,note
3,w4a4_overlap_depth3_hybrid,3x3,1x7,9,7,2,620,10,10,8,3,3,2,2,17,13,91,91,114,114,1,,NA,"source_compatible_single_dsp; D3 prefill/decode are paper-compatible, D>3 prefill is throughput-first Pareto; pointwise cap=2"
4,w4a4_overlap_depth4_hybrid,4x3,1x7,12,7,3,830,12,12,8,4,3,3,2,31,13,130,130,165,165,1,,NA,"source_compatible_single_dsp; D3 prefill/decode are paper-compatible, D>3 prefill is throughput-first Pareto; pointwise cap=3"
5,w4a4_overlap_depth5_hybrid,5x4,1x7,20,7,4,1366,20,20,8,5,3,4,2,79,13,261,261,324,324,1,,NA,"source_compatible_single_dsp; D3 prefill/decode are paper-compatible, D>3 prefill is throughput-first Pareto; pointwise cap=4"
6,w4a4_overlap_depth6_hybrid,5x4,1x7,20,7,4,1907,20,20,8,5,3,4,2,79,13,261,261,324,324,1,,NA,"source_compatible_single_dsp; D3 prefill/decode are paper-compatible, D>3 prefill is throughput-first Pareto; pointwise cap=4"
