depth,nx,ny,T,decode_T,pointwise_limit,x_pos,y_pos,product_offsets,cost,cost_per_mult,cost_per_decode_mult,max_adjacent_overlap,total_overlap,pointwise_overlap,is_prefill_pareto,is_decode_pareto,source
3,1,4,4,4,2,0,0 3 7 11,0 3 7 11,7,1.750000,1.750000,3,7,2,0,0,solver
3,1,4,4,4,2,0,0 3 6 10,0 3 6 10,8,2.000000,2.000000,3,8,2,0,0,solver
3,1,4,4,4,2,0,0 3 6 9,0 3 6 9,9,2.250000,2.250000,3,9,2,0,0,solver
3,1,5,5,5,2,0,0 5 11 17 23,0 5 11 17 23,1,0.200000,0.200000,1,1,2,0,1,solver
3,1,5,5,5,2,0,0 5 10 16 22,0 5 10 16 22,2,0.400000,0.400000,1,2,2,0,0,solver
3,1,5,5,5,2,0,0 5 10 15 21,0 5 10 15 21,3,0.600000,0.600000,1,3,2,0,0,solver
3,1,5,5,5,2,0,0 5 10 15 20,0 5 10 15 20,4,0.800000,0.800000,1,4,2,0,0,solver
3,1,5,5,5,2,0,0 4 9 14 19,0 4 9 14 19,5,1.000000,1.000000,2,5,2,0,0,solver
3,1,5,5,5,2,0,0 4 8 13 18,0 4 8 13 18,6,1.200000,1.200000,2,6,2,0,0,solver
3,1,5,5,5,2,0,0 4 8 12 17,0 4 8 12 17,7,1.400000,1.400000,2,7,2,0,0,solver
3,1,5,5,5,2,0,0 4 8 12 16,0 4 8 12 16,8,1.600000,1.600000,2,8,2,0,0,solver
3,1,5,5,5,2,0,0 3 7 11 15,0 3 7 11 15,9,1.800000,1.800000,3,9,2,0,0,solver
3,1,5,5,5,2,0,0 3 6 10 14,0 3 6 10 14,10,2.000000,2.000000,3,10,2,0,0,solver
3,1,5,5,5,2,0,0 3 6 9 13,0 3 6 9 13,11,2.200000,2.200000,3,11,2,0,0,solver
3,1,5,5,5,2,0,0 3 6 9 12,0 3 6 9 12,12,2.400000,2.400000,3,12,2,0,0,solver
3,1,6,6,6,2,0,0 4 8 13 18 23,0 4 8 13 18 23,7,1.166667,1.166667,2,7,2,0,1,solver
3,1,6,6,6,2,0,0 4 8 12 17 22,0 4 8 12 17 22,8,1.333333,1.333333,2,8,2,0,0,solver
3,1,6,6,6,2,0,0 4 8 12 16 21,0 4 8 12 16 21,9,1.500000,1.500000,2,9,2,0,0,solver
3,1,6,6,6,2,0,0 4 8 12 16 20,0 4 8 12 16 20,10,1.666667,1.666667,2,10,2,0,0,solver
3,1,6,6,6,2,0,0 3 7 11 15 19,0 3 7 11 15 19,11,1.833333,1.833333,3,11,2,0,0,solver
3,1,6,6,6,2,0,0 3 6 10 14 18,0 3 6 10 14 18,12,2.000000,2.000000,3,12,2,0,0,solver
3,1,6,6,6,2,0,0 3 6 9 13 17,0 3 6 9 13 17,13,2.166667,2.166667,3,13,2,0,0,solver
3,1,6,6,6,2,0,0 3 6 9 12 16,0 3 6 9 12 16,14,2.333333,2.333333,3,14,2,0,0,solver
3,1,6,6,6,2,0,0 3 6 9 12 15,0 3 6 9 12 15,15,2.500000,2.500000,3,15,2,0,0,solver
3,1,7,7,7,2,0,0 3 7 11 15 19 23,0 3 7 11 15 19 23,13,1.857143,1.857143,3,13,2,0,1,solver
3,1,7,7,7,2,0,0 3 6 10 14 18 22,0 3 6 10 14 18 22,14,2.000000,2.000000,3,14,2,0,0,solver
3,1,7,7,7,2,0,0 3 6 9 13 17 21,0 3 6 9 13 17 21,15,2.142857,2.142857,3,15,2,0,0,solver
3,1,7,7,7,2,0,0 3 6 9 12 16 20,0 3 6 9 12 16 20,16,2.285714,2.285714,3,16,2,0,0,solver
3,1,7,7,7,2,0,0 3 6 9 12 15 19,0 3 6 9 12 15 19,17,2.428571,2.428571,3,17,2,0,0,solver
3,1,7,7,7,2,0,0 3 6 9 12 15 18,0 3 6 9 12 15 18,18,2.571429,2.571429,3,18,2,0,0,solver
3,1,8,8,8,2,0,0 3 6 9 12 15 19 23,0 3 6 9 12 15 19 23,19,2.375000,2.375000,3,19,2,0,1,solver
3,1,8,8,8,2,0,0 3 6 9 12 15 18 22,0 3 6 9 12 15 18 22,20,2.500000,2.500000,3,20,2,0,0,solver
3,1,8,8,8,2,0,0 3 6 9 12 15 18 21,0 3 6 9 12 15 18 21,21,2.625000,2.625000,3,21,2,0,0,solver
3,2,1,2,1,2,0 14,0,0 14,-8,-4.000000,-8.000000,0,0,1,0,0,solver
3,2,1,2,1,2,0 13,0,0 13,-7,-3.500000,-7.000000,0,0,1,0,0,solver
3,2,1,2,1,2,0 12,0,0 12,-6,-3.000000,-6.000000,0,0,1,0,0,solver
3,2,1,2,1,2,0 11,0,0 11,-5,-2.500000,-5.000000,0,0,1,0,0,solver
3,2,1,2,1,2,0 10,0,0 10,-4,-2.000000,-4.000000,0,0,1,0,0,solver
3,2,1,2,1,2,0 9,0,0 9,-3,-1.500000,-3.000000,0,0,1,0,0,solver
3,2,1,2,1,2,0 8,0,0 8,-2,-1.000000,-2.000000,0,0,1,0,0,solver
3,2,1,2,1,2,0 7,0,0 7,-1,-0.500000,-1.000000,0,0,1,0,0,solver
3,2,1,2,1,2,0 6,0,0 6,0,0.000000,0.000000,0,0,1,0,0,solver
3,2,1,2,1,2,0 5,0,0 5,1,0.500000,1.000000,1,1,2,0,0,solver
3,2,1,2,1,2,0 4,0,0 4,2,1.000000,2.000000,2,2,2,0,0,solver
3,2,1,2,1,2,0 3,0,0 3,3,1.500000,3.000000,3,3,2,0,0,solver
3,2,2,4,2,2,0 14,0 23,0 14 23 37,-19,-4.750000,-9.500000,0,0,1,1,1,solver
3,2,2,4,2,2,0 14,0 22,0 14 22 36,-18,-4.500000,-9.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 14,0 21,0 14 21 35,-17,-4.250000,-8.500000,0,0,1,0,0,solver
3,2,2,4,2,2,0 14,0 20,0 14 20 34,-16,-4.000000,-8.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 14,0 19,0 14 19 33,-15,-3.750000,-7.500000,1,1,2,0,0,solver
3,2,2,4,2,2,0 14,0 18,0 14 18 32,-14,-3.500000,-7.000000,2,2,2,0,0,solver
3,2,2,4,2,2,0 14,0 17,0 14 17 31,-13,-3.250000,-6.500000,3,3,2,0,0,solver
3,2,2,4,2,2,0 14,0 11,0 11 14 25,-7,-1.750000,-3.500000,3,3,2,0,0,solver
3,2,2,4,2,2,0 14,0 10,0 10 14 24,-6,-1.500000,-3.000000,2,2,2,0,0,solver
3,2,2,4,2,2,0 14,0 9,0 9 14 23,-5,-1.250000,-2.500000,1,1,2,0,0,solver
3,2,2,4,2,2,0 14,0 8,0 8 14 22,-4,-1.000000,-2.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 14,0 7,0 7 14 21,-3,-0.750000,-1.500000,0,0,1,0,0,solver
3,2,2,4,2,2,0 14,0 6,0 6 14 20,-2,-0.500000,-1.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 14,0 5,0 5 14 19,-1,-0.250000,-0.500000,1,2,2,0,0,solver
3,2,2,4,2,2,0 14,0 4,0 4 14 18,0,0.000000,0.000000,2,4,2,0,0,solver
3,2,2,4,2,2,0 14,0 3,0 3 14 17,1,0.250000,0.500000,3,6,2,0,0,solver
3,2,2,4,2,2,0 13,0 23,0 13 23 36,-18,-4.500000,-9.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 13,0 22,0 13 22 35,-17,-4.250000,-8.500000,0,0,1,0,0,solver
3,2,2,4,2,2,0 13,0 21,0 13 21 34,-16,-4.000000,-8.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 13,0 20,0 13 20 33,-15,-3.750000,-7.500000,0,0,1,0,0,solver
3,2,2,4,2,2,0 13,0 19,0 13 19 32,-14,-3.500000,-7.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 13,0 18,0 13 18 31,-13,-3.250000,-6.500000,1,1,2,0,0,solver
3,2,2,4,2,2,0 13,0 17,0 13 17 30,-12,-3.000000,-6.000000,2,2,2,0,0,solver
3,2,2,4,2,2,0 13,0 16,0 13 16 29,-11,-2.750000,-5.500000,3,3,2,0,0,solver
3,2,2,4,2,2,0 13,0 10,0 10 13 23,-5,-1.250000,-2.500000,3,3,2,0,0,solver
3,2,2,4,2,2,0 13,0 9,0 9 13 22,-4,-1.000000,-2.000000,2,2,2,0,0,solver
3,2,2,4,2,2,0 13,0 8,0 8 13 21,-3,-0.750000,-1.500000,1,1,2,0,0,solver
3,2,2,4,2,2,0 13,0 7,0 7 13 20,-2,-0.500000,-1.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 13,0 6,0 6 13 19,-1,-0.250000,-0.500000,0,0,1,0,0,solver
3,2,2,4,2,2,0 13,0 5,0 5 13 18,0,0.000000,0.000000,1,2,2,0,0,solver
3,2,2,4,2,2,0 13,0 4,0 4 13 17,1,0.250000,0.500000,2,4,2,0,0,solver
3,2,2,4,2,2,0 13,0 3,0 3 13 16,2,0.500000,1.000000,3,6,2,0,0,solver
3,2,2,4,2,2,0 12,0 23,0 12 23 35,-17,-4.250000,-8.500000,0,0,1,0,0,solver
3,2,2,4,2,2,0 12,0 22,0 12 22 34,-16,-4.000000,-8.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 12,0 21,0 12 21 33,-15,-3.750000,-7.500000,0,0,1,0,0,solver
3,2,2,4,2,2,0 12,0 20,0 12 20 32,-14,-3.500000,-7.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 12,0 19,0 12 19 31,-13,-3.250000,-6.500000,0,0,1,0,0,solver
3,2,2,4,2,2,0 12,0 18,0 12 18 30,-12,-3.000000,-6.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 12,0 17,0 12 17 29,-11,-2.750000,-5.500000,1,1,2,0,0,solver
3,2,2,4,2,2,0 12,0 16,0 12 16 28,-10,-2.500000,-5.000000,2,2,2,0,0,solver
3,2,2,4,2,2,0 12,0 15,0 12 15 27,-9,-2.250000,-4.500000,3,3,2,0,0,solver
3,2,2,4,2,2,0 12,0 9,0 9 12 21,-3,-0.750000,-1.500000,3,3,2,0,0,solver
3,2,2,4,2,2,0 12,0 8,0 8 12 20,-2,-0.500000,-1.000000,2,2,2,0,0,solver
3,2,2,4,2,2,0 12,0 7,0 7 12 19,-1,-0.250000,-0.500000,1,1,2,0,0,solver
3,2,2,4,2,2,0 12,0 6,0 6 12 18,0,0.000000,0.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 12,0 5,0 5 12 17,1,0.250000,0.500000,1,2,2,0,0,solver
3,2,2,4,2,2,0 12,0 4,0 4 12 16,2,0.500000,1.000000,2,4,2,0,0,solver
