method,"[0K, 8K]","[2K, 6K]","[4K, 4K]","[6K, 2K]","[8K, 0K]",Geomean
FlightLLM (INT8),1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
WP521 (INT4),1.000000,1.189046,1.378092,1.567138,1.756184,1.351546
DuoQ (INT4),1.000000,1.189046,1.378092,1.567138,1.756184,1.351546
DSP-Packing (INT4),1.000000,1.336572,1.673145,2.009717,2.346290,1.601801
UDP (INT4),1.000000,1.336572,1.673145,2.009717,2.346290,1.601801
Ultra-DSP (INT4),1.000000,1.507067,2.014134,2.521201,3.028269,1.875014
