method,"[0K, 8K]","[1K, 7K]","[2K, 6K]","[3K, 5K]","[4K, 4K]","[5K, 3K]","[6K, 2K]","[7K, 1K]","[8K, 0K]",Geomean
FlightLLM (INT8),1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
WP521 (INT4),1.000000,1.094523,1.189046,1.283569,1.378092,1.472615,1.567138,1.661661,1.756184,1.356032
DuoQ (INT4),1.000000,1.094523,1.189046,1.283569,1.378092,1.472615,1.567138,1.661661,1.756184,1.356032
DSP-Packing (INT4),1.000000,1.168286,1.336572,1.504859,1.673145,1.841431,2.009717,2.178004,2.346290,1.614070
UDP (INT4),1.000000,1.168286,1.336572,1.504859,1.673145,1.841431,2.009717,2.178004,2.346290,1.614070
Ultra-DSP (INT4),1.000000,1.253534,1.507067,1.760601,2.014134,2.267668,2.521201,2.774735,3.028269,1.899435
