evidence_class,paper_mapping,platform,datatype,batch_size,k,n,weight_bits_per_value,total_weight_bits,bandwidth_GBps_decimal,power_w,frequency_mhz,dsp_count,packed_macs_per_dsp_cycle,macs,ops,memory_time_ms,compute_cycles,compute_time_ms,total_latency_ms,bottleneck,throughput_tops,energy_mj,tops_per_w
ANALYTICAL_MODEL,Table 5; Figure 13,FPGA 8192-DSP analytical array,W4A4,1,4096,4096,4,67108864,460.0,45.0,200.0,8192,9,16777216,33554432,0.018236104347826087,227.55555555555554,0.0011377777777777777,0.018236104347826087,memory,1.84,0.8206246956521739,0.04088888888888889
ANALYTICAL_MODEL,Figure 13,FPGA 8192-DSP analytical array,W4A4,4,4096,4096,4,67108864,460.0,45.0,200.0,8192,9,67108864,134217728,0.018236104347826087,910.2222222222222,0.004551111111111111,0.018236104347826087,memory,7.36,0.8206246956521739,0.16355555555555557
ANALYTICAL_MODEL,Figure 13,FPGA 8192-DSP analytical array,W4A4,16,4096,4096,4,67108864,460.0,45.0,200.0,8192,9,268435456,536870912,0.018236104347826087,3640.8888888888887,0.018204444444444443,0.018236104347826087,memory,29.44,0.8206246956521739,0.6542222222222223
ANALYTICAL_MODEL,Figure 13,FPGA 8192-DSP analytical array,W4A4,64,4096,4096,4,67108864,460.0,45.0,200.0,8192,9,1073741824,2147483648,0.018236104347826087,14563.555555555555,0.07281777777777777,0.07281777777777777,compute,29.4912,3.2767999999999997,0.6553599999999999
ANALYTICAL_MODEL,Figure 13,FPGA 8192-DSP analytical array,W4A4,256,4096,4096,4,67108864,460.0,45.0,200.0,8192,9,4294967296,8589934592,0.018236104347826087,58254.22222222222,0.2912711111111111,0.2912711111111111,compute,29.4912,13.107199999999999,0.6553599999999999
